game_id,game_date,game_type,away_team,home_team,away_score,home_score,home_win
2025010101,2025-09-20,1,STL,DAL,1,2,1
2025010001,2025-09-21,1,ANA,LAK,1,3,1
2025010002,2025-09-21,1,CGY,EDM,3,2,0
2025010003,2025-09-21,1,EDM,CGY,3,0,0
2025010004,2025-09-21,1,FLA,NSH,0,5,1
2025010005,2025-09-21,1,FLA,NSH,3,5,1
2025010006,2025-09-21,1,MIN,WPG,3,2,0
2025010007,2025-09-21,1,NYR,NJD,5,3,0
2025010008,2025-09-21,1,PHI,NYI,3,2,0
2025010009,2025-09-21,1,STL,CBJ,1,4,1
2025010010,2025-09-21,1,TOR,OTT,4,3,0
2025010011,2025-09-21,1,VAN,SEA,3,5,1
2025010012,2025-09-21,1,VGK,SJS,0,3,1
2025010013,2025-09-21,1,WSH,BOS,5,2,0
2025010103,2025-09-21,1,COL,UTA,5,1,0
2025010104,2025-09-21,1,UTA,COL,2,3,1
2025010014,2025-09-22,1,BUF,CBJ,4,0,0
2025010015,2025-09-22,1,PIT,MTL,1,2,1
2025010016,2025-09-22,1,TBL,CAR,2,1,0
2025010017,2025-09-22,1,UTA,ANA,1,6,1
2025010018,2025-09-23,1,BOS,NYR,5,4,0
2025010019,2025-09-23,1,CHI,DET,2,3,1
2025010020,2025-09-23,1,CBJ,BUF,1,2,1
2025010021,2025-09-23,1,MIN,DAL,2,3,1
2025010022,2025-09-23,1,EDM,WPG,3,2,0
2025010023,2025-09-23,1,LAK,VGK,3,1,0
2025010024,2025-09-23,1,NYI,NJD,2,6,1
2025010025,2025-09-23,1,OTT,TOR,3,2,0
2025010026,2025-09-23,1,PHI,MTL,2,4,1
2025010027,2025-09-23,1,SEA,CGY,1,4,1
2025010028,2025-09-23,1,TBL,NSH,3,2,0
2025010029,2025-09-24,1,CGY,VAN,1,3,1
2025010030,2025-09-24,1,FLA,CAR,4,2,0
2025010031,2025-09-24,1,LAK,ANA,3,0,0
2025010032,2025-09-24,1,PIT,CBJ,1,4,1
2025010033,2025-09-24,1,SEA,EDM,4,1,0
2025010034,2025-09-25,1,BUF,DET,2,5,1
2025010035,2025-09-25,1,NYI,NYR,5,4,0
2025010036,2025-09-25,1,PHI,WSH,1,5,1
2025010037,2025-09-25,1,TOR,MTL,7,2,0
2025010038,2025-09-25,1,DAL,MIN,5,2,0
2025010039,2025-09-25,1,UTA,VGK,2,3,1
2025010040,2025-09-26,1,CAR,TBL,5,6,1
2025010041,2025-09-26,1,DET,PIT,2,3,1
2025010042,2025-09-26,1,NJD,NYI,4,2,0
2025010043,2025-09-26,1,SEA,VAN,2,4,1
2025010044,2025-09-26,1,VGK,SJS,2,1,0
2025010045,2025-09-26,1,WPG,EDM,0,4,1
2025010046,2025-09-27,1,ANA,LAK,5,3,0
2025010047,2025-09-27,1,BOS,PHI,4,3,0
2025010048,2025-09-27,1,CHI,STL,4,2,0
2025010049,2025-09-27,1,CGY,WPG,2,4,1
2025010050,2025-09-27,1,CBJ,PIT,1,4,1
2025010051,2025-09-27,1,DAL,COL,1,4,1
2025010052,2025-09-27,1,DET,BUF,2,5,1
2025010053,2025-09-27,1,MTL,TOR,4,2,0
2025010054,2025-09-27,1,NSH,TBL,1,4,1
2025010055,2025-09-28,1,NSH,CAR,2,4,1
2025010056,2025-09-28,1,NJD,OTT,0,2,1
2025010057,2025-09-28,1,CHI,MIN,4,1,0
2025010058,2025-09-28,1,VAN,EDM,3,4,1
2025010059,2025-09-28,1,WSH,NJD,3,2,0
2025010060,2025-09-29,1,CGY,SEA,2,1,0
2025010061,2025-09-29,1,CAR,FLA,3,4,1
2025010062,2025-09-29,1,NYR,NYI,3,2,0
2025010063,2025-09-29,1,PHI,BOS,3,2,0
2025010064,2025-09-29,1,PIT,DET,2,1,0
2025010065,2025-09-29,1,SJS,ANA,2,3,1
2025010066,2025-09-30,1,DET,CHI,3,1,0
2025010067,2025-09-30,1,FLA,TBL,2,3,1
2025010068,2025-09-30,1,LAK,UTA,3,2,0
2025010069,2025-09-30,1,MTL,OTT,5,0,0
2025010070,2025-09-30,1,VGK,COL,2,4,1
2025010071,2025-09-30,1,WSH,CBJ,4,3,0
2025010072,2025-09-30,1,WPG,MIN,2,3,1
2025010102,2025-09-30,1,DAL,STL,5,3,0
2025010073,2025-10-01,1,ANA,SJS,5,2,0
2025010074,2025-10-01,1,COL,VGK,1,2,1
2025010075,2025-10-01,1,EDM,SEA,2,4,1
2025010076,2025-10-01,1,PIT,BUF,5,3,0
2025010077,2025-10-01,1,VAN,CGY,8,1,0
2025010078,2025-10-02,1,BOS,WSH,3,1,0
2025010079,2025-10-02,1,DET,TOR,3,1,0
2025010080,2025-10-02,1,FLA,TBL,2,5,1
2025010081,2025-10-02,1,LAK,UTA,1,2,1
2025010082,2025-10-02,1,NJD,NYR,3,1,0
2025010083,2025-10-02,1,NYI,PHI,4,3,0
2025010084,2025-10-02,1,OTT,STL,1,7,1
2025010085,2025-10-03,1,BUF,PIT,4,5,1
2025010086,2025-10-03,1,MIN,CHI,3,2,0
2025010087,2025-10-03,1,EDM,VAN,2,3,1
2025010088,2025-10-03,1,SJS,VGK,4,1,0
2025010089,2025-10-03,1,WPG,CGY,5,4,0
2025010090,2025-10-04,1,ANA,LAK,4,5,1
2025010091,2025-10-04,1,CAR,NSH,2,3,1
2025010092,2025-10-04,1,COL,DAL,2,3,1
2025010093,2025-10-04,1,CBJ,WSH,1,2,1
2025010094,2025-10-04,1,NJD,PHI,3,4,1
2025010095,2025-10-04,1,NYR,BOS,1,4,1
2025010096,2025-10-04,1,OTT,MTL,3,1,0
2025010097,2025-10-04,1,STL,CHI,4,0,0
2025010098,2025-10-04,1,SJS,UTA,4,6,1
2025010099,2025-10-04,1,TBL,FLA,0,7,1
2025010100,2025-10-04,1,TOR,DET,5,6,1
2025020001,2025-10-07,2,CHI,FLA,2,3,1
2025020002,2025-10-07,2,PIT,NYR,3,0,0
2025020003,2025-10-07,2,COL,LAK,4,1,0
2025020004,2025-10-08,2,MTL,TOR,2,5,1
2025020005,2025-10-08,2,BOS,WSH,3,1,0
2025020006,2025-10-08,2,CGY,EDM,4,3,0
2025020007,2025-10-08,2,LAK,VGK,6,5,0
2025020008,2025-10-09,2,CHI,BOS,3,4,1
2025020009,2025-10-09,2,NYR,BUF,4,0,0
2025020010,2025-10-09,2,MTL,DET,5,1,0
2025020011,2025-10-09,2,OTT,TBL,5,4,0
2025020012,2025-10-09,2,PHI,FLA,1,2,1
2025020013,2025-10-09,2,NYI,PIT,3,4,1
2025020014,2025-10-09,2,NJD,CAR,3,6,1
2025020015,2025-10-09,2,MIN,STL,5,0,0
2025020016,2025-10-09,2,CBJ,NSH,1,2,1
2025020017,2025-10-09,2,DAL,WPG,5,4,0
2025020018,2025-10-09,2,UTA,COL,1,2,1
2025020019,2025-10-09,2,CGY,VAN,1,5,1
2025020020,2025-10-09,2,VGK,SJS,4,3,0
2025020021,2025-10-09,2,ANA,SEA,1,3,1
2025020022,2025-10-11,2,LAK,WPG,2,3,1
2025020023,2025-10-11,2,STL,CGY,4,2,0
2025020024,2025-10-11,2,BUF,BOS,1,3,1
2025020025,2025-10-11,2,TOR,DET,3,6,1
2025020026,2025-10-11,2,NJD,TBL,5,3,0
2025020027,2025-10-11,2,OTT,FLA,2,6,1
2025020028,2025-10-11,2,WSH,NYI,4,2,0
2025020029,2025-10-11,2,NYR,PIT,6,1,0
2025020030,2025-10-11,2,PHI,CAR,3,4,1
2025020031,2025-10-11,2,MTL,CHI,3,2,0
2025020032,2025-10-11,2,UTA,NSH,3,2,0
2025020033,2025-10-11,2,CBJ,MIN,7,4,0
2025020034,2025-10-11,2,DAL,COL,5,4,0
2025020035,2025-10-11,2,VAN,EDM,1,3,1
2025020036,2025-10-11,2,ANA,SJS,7,6,0
2025020037,2025-10-11,2,VGK,SEA,1,2,1
2025020038,2025-10-12,2,WSH,NYR,1,0,0
2025020039,2025-10-13,2,COL,BUF,3,1,0
2025020040,2025-10-13,2,TBL,BOS,4,3,0
2025020041,2025-10-13,2,NSH,OTT,4,1,0
2025020042,2025-10-13,2,WPG,NYI,5,2,0
2025020043,2025-10-13,2,DET,TOR,3,2,0
2025020044,2025-10-13,2,FLA,PHI,2,5,1
2025020045,2025-10-13,2,NJD,CBJ,3,2,0
2025020046,2025-10-13,2,STL,VAN,5,2,0
2025020047,2025-10-13,2,LAK,MIN,3,4,1
2025020048,2025-10-13,2,UTA,CHI,1,3,1
2025020049,2025-10-14,2,NSH,TOR,4,7,1
2025020050,2025-10-14,2,SEA,MTL,4,5,1
2025020051,2025-10-14,2,EDM,NYR,2,0,0
2025020052,2025-10-14,2,TBL,WSH,2,3,1
2025020053,2025-10-14,2,VGK,CGY,4,2,0
2025020054,2025-10-14,2,MIN,DAL,2,5,1
2025020055,2025-10-14,2,CAR,SJS,5,1,0
2025020056,2025-10-14,2,PIT,ANA,3,4,1
2025020057,2025-10-15,2,OTT,BUF,4,8,1
2025020058,2025-10-15,2,FLA,DET,1,4,1
2025020059,2025-10-15,2,CHI,STL,8,3,0
2025020060,2025-10-15,2,CGY,UTA,1,3,1
2025020061,2025-10-16,2,NYR,TOR,1,2,1
2025020062,2025-10-16,2,NSH,MTL,2,3,1
2025020063,2025-10-16,2,SEA,OTT,3,4,1
2025020064,2025-10-16,2,FLA,NJD,1,3,1
2025020065,2025-10-16,2,EDM,NYI,2,4,1
2025020066,2025-10-16,2,WPG,PHI,5,2,0
2025020067,2025-10-16,2,COL,CBJ,4,1,0
2025020068,2025-10-16,2,VAN,DAL,5,3,0
2025020069,2025-10-16,2,BOS,VGK,5,6,1
2025020070,2025-10-16,2,CAR,ANA,4,1,0
2025020071,2025-10-16,2,PIT,LAK,4,2,0
2025020072,2025-10-17,2,TBL,DET,1,2,1
2025020073,2025-10-17,2,MIN,WSH,1,5,1
2025020074,2025-10-17,2,VAN,CHI,3,2,0
2025020075,2025-10-17,2,SJS,UTA,3,6,1
2025020076,2025-10-18,2,FLA,BUF,0,3,1
2025020077,2025-10-18,2,NYI,OTT,5,4,0
2025020078,2025-10-18,2,EDM,NJD,3,5,1
2025020079,2025-10-18,2,SEA,TOR,4,3,0
2025020080,2025-10-18,2,NYR,MTL,4,3,0
2025020081,2025-10-18,2,MIN,PHI,1,2,1
2025020082,2025-10-18,2,TBL,CBJ,2,3,1
2025020083,2025-10-18,2,DAL,STL,1,3,1
2025020084,2025-10-18,2,NSH,WPG,1,4,1
2025020085,2025-10-18,2,BOS,COL,1,4,1
2025020086,2025-10-18,2,CAR,LAK,4,3,0
2025020087,2025-10-18,2,CGY,VGK,1,6,1
2025020088,2025-10-18,2,PIT,SJS,3,0,0
2025020089,2025-10-19,2,VAN,WSH,4,3,0
2025020090,2025-10-19,2,EDM,DET,2,4,1
2025020091,2025-10-19,2,ANA,CHI,1,2,1
2025020092,2025-10-19,2,BOS,UTA,2,3,1
2025020093,2025-10-20,2,MIN,NYR,3,1,0
2025020094,2025-10-20,2,SEA,PHI,2,5,1
2025020095,2025-10-20,2,BUF,MTL,2,4,1
2025020096,2025-10-20,2,WPG,CGY,2,1,0
2025020097,2025-10-20,2,CAR,VGK,1,4,1
2025020098,2025-10-21,2,NJD,TOR,5,2,0
2025020099,2025-10-21,2,EDM,OTT,3,2,0
2025020100,2025-10-21,2,SJS,NYI,3,4,1
2025020101,2025-10-21,2,VAN,PIT,1,5,1
2025020102,2025-10-21,2,SEA,WSH,1,4,1
2025020103,2025-10-21,2,FLA,BOS,4,3,0
2025020104,2025-10-21,2,LAK,STL,2,1,0
2025020105,2025-10-21,2,ANA,NSH,5,2,0
2025020106,2025-10-21,2,CBJ,DAL,5,1,0
2025020107,2025-10-21,2,COL,UTA,3,4,1
2025020108,2025-10-22,2,MIN,NJD,1,4,1
2025020109,2025-10-22,2,DET,BUF,2,4,1
2025020110,2025-10-22,2,MTL,CGY,2,1,0
2025020111,2025-10-23,2,ANA,BOS,7,5,0
2025020112,2025-10-23,2,PHI,OTT,1,2,1
2025020113,2025-10-23,2,CHI,TBL,3,2,0
2025020114,2025-10-23,2,PIT,FLA,5,3,0
2025020115,2025-10-23,2,DET,NYI,2,7,1
2025020116,2025-10-23,2,SJS,NYR,6,5,0
2025020117,2025-10-23,2,UTA,STL,7,4,0
2025020118,2025-10-23,2,VAN,NSH,1,2,1
2025020119,2025-10-23,2,LAK,DAL,3,2,0
2025020120,2025-10-23,2,SEA,WPG,3,0,0
2025020121,2025-10-23,2,CAR,COL,5,4,0
2025020122,2025-10-23,2,MTL,EDM,5,6,1
2025020123,2025-10-24,2,TOR,BUF,3,5,1
2025020124,2025-10-24,2,SJS,NJD,1,3,1
2025020125,2025-10-24,2,WSH,CBJ,5,1,0
2025020126,2025-10-24,2,CGY,WPG,3,5,1
2025020127,2025-10-25,2,NYI,PHI,3,4,1
2025020128,2025-10-25,2,COL,BOS,2,3,1
2025020129,2025-10-25,2,ANA,TBL,3,4,1
2025020130,2025-10-25,2,VGK,FLA,0,3,1
2025020131,2025-10-25,2,UTA,MIN,6,2,0
2025020132,2025-10-25,2,BUF,TOR,3,4,1
2025020133,2025-10-25,2,STL,DET,4,6,1
2025020134,2025-10-25,2,CBJ,PIT,5,4,0
2025020135,2025-10-25,2,OTT,WSH,7,1,0
2025020136,2025-10-25,2,MTL,VAN,4,3,0
2025020137,2025-10-25,2,LAK,NSH,4,5,1
2025020138,2025-10-25,2,CAR,DAL,2,3,1
2025020139,2025-10-25,2,EDM,SEA,2,3,1
2025020140,2025-10-26,2,COL,NJD,3,4,1
2025020141,2025-10-26,2,VGK,TBL,1,2,1
2025020142,2025-10-26,2,SJS,MIN,6,5,0
2025020143,2025-10-26,2,UTA,WPG,3,2,0
2025020144,2025-10-26,2,LAK,CHI,3,1,0
2025020145,2025-10-26,2,DAL,NSH,3,2,0
2025020146,2025-10-26,2,NYR,CGY,1,5,1
2025020147,2025-10-26,2,EDM,VAN,3,4,1
2025020148,2025-10-27,2,STL,PIT,3,6,1
2025020149,2025-10-27,2,BOS,OTT,2,7,1
2025020150,2025-10-28,2,PIT,PHI,2,3,1
2025020151,2025-10-28,2,CGY,TOR,3,4,1
2025020152,2025-10-28,2,CBJ,BUF,4,3,0
2025020153,2025-10-28,2,ANA,FLA,3,2,0
2025020154,2025-10-28,2,NYI,BOS,2,5,1
2025020155,2025-10-28,2,VGK,CAR,6,3,0
2025020156,2025-10-28,2,TBL,NSH,5,2,0
2025020157,2025-10-28,2,WPG,MIN,4,3,0
2025020158,2025-10-28,2,DET,STL,5,2,0
2025020159,2025-10-28,2,WSH,DAL,0,1,1
2025020160,2025-10-28,2,OTT,CHI,3,7,1
2025020161,2025-10-28,2,NJD,COL,4,8,1
2025020162,2025-10-28,2,UTA,EDM,3,6,1
2025020163,2025-10-28,2,NYR,VAN,2,0,0
2025020164,2025-10-28,2,MTL,SEA,4,3,0
2025020165,2025-10-28,2,LAK,SJS,4,3,0
2025020166,2025-10-29,2,TOR,CBJ,3,6,1
2025020167,2025-10-30,2,BUF,BOS,3,4,1
2025020168,2025-10-30,2,CGY,OTT,3,4,1
2025020169,2025-10-30,2,DAL,TBL,1,2,1
2025020170,2025-10-30,2,NSH,PHI,1,4,1
2025020171,2025-10-30,2,NYI,CAR,2,6,1
2025020172,2025-10-30,2,VAN,STL,4,3,0
2025020173,2025-10-30,2,PIT,MIN,4,1,0
2025020174,2025-10-30,2,CHI,WPG,3,6,1
2025020175,2025-10-30,2,NYR,EDM,4,3,0
2025020176,2025-10-30,2,NJD,SJS,2,5,1
2025020177,2025-10-30,2,DET,LAK,4,3,0
2025020178,2025-10-31,2,COL,VGK,4,2,0
2025020179,2025-10-31,2,NYI,WSH,3,1,0
2025020180,2025-10-31,2,DET,ANA,2,5,1
2025020181,2025-11-01,2,CAR,BOS,1,2,1
2025020182,2025-11-01,2,PIT,WPG,2,5,1
2025020183,2025-11-01,2,CGY,NSH,2,4,1
2025020184,2025-11-01,2,COL,SJS,2,3,1
2025020185,2025-11-01,2,DAL,FLA,3,4,1
2025020186,2025-11-01,2,WSH,BUF,3,4,1
2025020187,2025-11-01,2,OTT,MTL,3,4,1
2025020188,2025-11-01,2,TOR,PHI,5,2,0
2025020189,2025-11-01,2,STL,CBJ,2,3,1
2025020190,2025-11-01,2,VAN,MIN,2,5,1
2025020191,2025-11-01,2,NJD,LAK,4,1,0
2025020192,2025-11-01,2,CHI,EDM,2,3,1
2025020193,2025-11-01,2,NYR,SEA,3,2,0
2025020194,2025-11-02,2,TBL,UTA,4,2,0
2025020195,2025-11-02,2,CBJ,NYI,2,3,1
2025020196,2025-11-02,2,CGY,PHI,2,1,0
2025020197,2025-11-02,2,NJD,ANA,1,4,1
2025020198,2025-11-02,2,DET,SJS,3,2,0
2025020199,2025-11-03,2,PIT,TOR,3,4,1
2025020200,2025-11-03,2,EDM,STL,2,3,1
2025020201,2025-11-03,2,VAN,NSH,5,4,0
2025020202,2025-11-03,2,CHI,SEA,1,3,1
2025020203,2025-11-04,2,UTA,BUF,2,1,0
2025020204,2025-11-04,2,PHI,MTL,5,4,0
2025020205,2025-11-04,2,BOS,NYI,4,3,0
2025020206,2025-11-04,2,CAR,NYR,3,0,0
2025020207,2025-11-04,2,EDM,DAL,3,4,1
2025020208,2025-11-04,2,NSH,MIN,2,3,1
2025020209,2025-11-04,2,TBL,COL,2,3,1
2025020210,2025-11-04,2,DET,VGK,0,1,1
2025020211,2025-11-04,2,FLA,ANA,3,7,1
2025020212,2025-11-04,2,WPG,LAK,0,3,1
2025020213,2025-11-05,2,UTA,TOR,3,5,1
2025020214,2025-11-05,2,STL,WSH,1,6,1
2025020215,2025-11-05,2,CBJ,CGY,1,5,1
2025020216,2025-11-05,2,CHI,VAN,5,2,0
2025020217,2025-11-05,2,SJS,SEA,6,1,0
2025020218,2025-11-06,2,OTT,BOS,2,3,1
2025020219,2025-11-06,2,STL,BUF,3,0,0
2025020220,2025-11-06,2,MTL,NJD,3,4,1
2025020221,2025-11-06,2,WSH,PIT,3,5,1
2025020222,2025-11-06,2,MIN,CAR,3,4,1
2025020223,2025-11-06,2,PHI,NSH,3,1,0
2025020224,2025-11-06,2,ANA,DAL,7,5,0
2025020225,2025-11-06,2,TBL,VGK,6,3,0
2025020226,2025-11-06,2,FLA,LAK,5,2,0
2025020227,2025-11-07,2,NYR,DET,4,1,0
2025020228,2025-11-07,2,MIN,NYI,5,2,0
2025020229,2025-11-07,2,CHI,CGY,4,0,0
2025020230,2025-11-07,2,WPG,SJS,1,2,1
2025020231,2025-11-08,2,PIT,NJD,1,2,1
2025020232,2025-11-08,2,OTT,PHI,3,2,0
2025020233,2025-11-08,2,DAL,NSH,5,4,0
2025020234,2025-11-08,2,BOS,TOR,5,3,0
2025020235,2025-11-08,2,UTA,MTL,2,6,1
2025020236,2025-11-08,2,WSH,TBL,2,3,1
2025020237,2025-11-08,2,NYI,NYR,5,0,0
2025020238,2025-11-08,2,BUF,CAR,3,6,1
2025020239,2025-11-08,2,SEA,STL,4,3,0
2025020240,2025-11-08,2,COL,EDM,9,1,0
2025020241,2025-11-08,2,CBJ,VAN,3,4,1
2025020242,2025-11-08,2,ANA,VGK,4,3,0
2025020243,2025-11-08,2,FLA,SJS,1,3,1
2025020244,2025-11-09,2,CHI,DET,5,1,0
2025020245,2025-11-09,2,LAK,PIT,3,2,0
2025020246,2025-11-09,2,CAR,TOR,5,4,0
2025020247,2025-11-09,2,UTA,OTT,2,4,1
2025020248,2025-11-09,2,SEA,DAL,1,2,1
2025020249,2025-11-09,2,CGY,MIN,0,2,1
2025020250,2025-11-09,2,COL,VAN,5,4,0
2025020251,2025-11-09,2,WPG,ANA,1,4,1
2025020252,2025-11-10,2,NYI,NJD,3,2,0
2025020253,2025-11-10,2,NSH,NYR,3,6,1
2025020254,2025-11-10,2,CBJ,EDM,4,5,1
2025020255,2025-11-10,2,FLA,VGK,3,2,0
2025020256,2025-11-11,2,TOR,BOS,3,5,1
2025020257,2025-11-11,2,LAK,MTL,5,1,0
2025020258,2025-11-11,2,DAL,OTT,3,2,0
2025020259,2025-11-11,2,WSH,CAR,4,1,0
2025020260,2025-11-11,2,CGY,STL,2,3,1
2025020261,2025-11-11,2,SJS,MIN,2,1,0
2025020262,2025-11-11,2,ANA,COL,1,4,1
2025020263,2025-11-11,2,WPG,VAN,5,3,0
2025020264,2025-11-11,2,CBJ,SEA,2,1,0
2025020265,2025-11-12,2,NYR,TBL,7,3,0
2025020266,2025-11-12,2,EDM,PHI,2,1,0
2025020267,2025-11-12,2,BUF,UTA,2,5,1
