index,feature,group
1,season_type,context
2,neutral_site,context
3,is_playoff,context
4,is_finals,context
5,edge_h2h_avg_net_rating_est,h2h
6,edge_h2h_win_pct,h2h
7,edge_h2h_avg_points_for,h2h
8,edge_h2h_avg_points_against,h2h
9,edge_h2h_avg_margin,h2h
10,edge_h2h_avg_def_rating_est,h2h
11,edge_h2h_avg_off_rating_est,h2h
12,edge_h2h_avg_field_goal_pct,h2h
13,edge_h2h_avg_efg_pct_est,h2h
14,edge_h2h_avg_assists,h2h
15,edge_h2h_avg_paint_point_rate_est,h2h
16,edge_h2h_avg_turnover_rate,h2h
17,edge_h2h_avg_points_in_paint,h2h
18,edge_h2h_avg_turnovers,h2h
19,edge_h2h_avg_steal_rate_est,h2h
20,edge_h2h_avg_steals,h2h
21,edge_h2h_avg_block_rate_est,h2h
22,edge_h2h_avg_blocks,h2h
23,edge_h2h_avg_defensive_rebounds,h2h
24,edge_h2h_avg_three_point_field_goal_pct,h2h
25,edge_h2h_avg_oreb_rate_proxy,h2h
26,edge_h2h_avg_fast_break_points,h2h
27,edge_h2h_avg_free_throw_pct,h2h
28,edge_h2h_avg_foul_rate_est,h2h
29,edge_h2h_avg_fouls,h2h
30,edge_h2h_avg_offensive_rebounds,h2h
31,edge_h2h_avg_total_rebounds,h2h
32,edge_h2h_avg_ft_rate,h2h
33,edge_h2h_avg_estimated_possessions,h2h
34,edge_h2h_avg_three_pa_rate,h2h
35,edge_players_top8_sum_plus_minus,players
36,edge_players_top8_minutes_weighted_plus_minus,players
37,edge_players_top8_avg_plus_minus,players
38,edge_players_top8_usage_weighted_plus_minus,players
39,edge_players_top5_sum_plus_minus,players
40,edge_players_top5_minutes_weighted_plus_minus,players
41,edge_players_top5_avg_plus_minus,players
42,edge_players_top5_usage_weighted_plus_minus,players
43,edge_players_rotation_players_last10,players
44,edge_players_top8_fga_weighted_efg_pct,players
45,edge_players_top8_sum_turnovers,players
46,edge_players_top8_avg_turnovers,players
47,edge_players_top8_avg_turnovers_per36,players
48,edge_players_top8_sum_turnovers_per36,players
49,edge_players_top8_minutes_weighted_turnovers_per36,players
50,edge_players_logged_players,players
51,edge_players_top5_fga_weighted_efg_pct,players
52,edge_players_top8_minutes_volatility,players
53,edge_players_top5_sum_turnovers_per36,players
54,edge_players_top5_avg_turnovers_per36,players
55,edge_players_top8_usage_weighted_points_per36,players
56,edge_players_top8_usage_weighted_turnovers_per36,players
57,edge_players_top5_minutes_weighted_turnovers_per36,players
58,edge_players_top8_availability_risk_expected_usage,players
59,edge_players_top5_usage_weighted_points_per36,players
60,edge_players_scorer1_ppg,players
61,edge_players_top5_avg_turnovers,players
62,edge_players_top5_sum_turnovers,players
63,edge_players_top5_dnp_rate_last10,players
64,edge_players_top5_availability_risk_expected_minutes,players
65,edge_players_top5_dnp_games_last10,players
66,edge_players_top8_availability_risk_expected_points,players
67,edge_players_top5_avg_defensive_rebounds,players
68,edge_players_top5_sum_defensive_rebounds,players
69,edge_players_top8_3pa_weighted_three_pct,players
70,edge_players_top5_availability_risk_expected_usage,players
71,edge_players_top8_availability_risk_expected_minutes,players
72,edge_players_top5_availability_risk_expected_points,players
73,edge_players_top5_usage_weighted_turnovers_per36,players
74,edge_players_top8_avg_field_goals_made_field_goals_attempted_attempted,players
75,edge_last20_avg_margin,recent_team
76,edge_last20_avg_net_rating_est,recent_team
77,edge_last10_avg_margin,recent_team
78,edge_last10_avg_net_rating_est,recent_team
79,edge_last20_win_pct,recent_team
80,edge_last5_avg_margin,recent_team
81,edge_last10_win_pct,recent_team
82,edge_last5_avg_net_rating_est,recent_team
83,edge_last20_avg_off_rating_est,recent_team
84,edge_last10_avg_off_rating_est,recent_team
85,edge_last3_avg_margin,recent_team
86,edge_last5_win_pct,recent_team
87,edge_last3_avg_net_rating_est,recent_team
88,edge_last20_avg_def_rating_est,recent_team
89,edge_last5_avg_off_rating_est,recent_team
90,edge_last20_avg_efg_pct_est,recent_team
91,edge_last20_avg_points_against,recent_team
92,edge_last10_avg_def_rating_est,recent_team
93,edge_last20_avg_field_goal_pct,recent_team
94,edge_last10_avg_efg_pct_est,recent_team
95,edge_last3_win_pct,recent_team
96,edge_last20_avg_points_for,recent_team
97,edge_last10_avg_points_against,recent_team
98,edge_last3_avg_off_rating_est,recent_team
99,edge_last20_avg_turnovers,recent_team
100,edge_last10_avg_field_goal_pct,recent_team
101,edge_last10_avg_points_for,recent_team
102,edge_last5_avg_efg_pct_est,recent_team
103,edge_last5_avg_field_goal_pct,recent_team
104,edge_last20_avg_turnover_rate,recent_team
105,edge_last5_avg_points_for,recent_team
106,edge_last10_avg_turnovers,recent_team
107,edge_last5_avg_def_rating_est,recent_team
108,edge_last3_avg_efg_pct_est,recent_team
109,edge_last5_avg_points_against,recent_team
110,edge_last3_avg_field_goal_pct,recent_team
111,edge_last10_avg_turnover_rate,recent_team
112,edge_last3_avg_def_rating_est,recent_team
113,edge_last3_avg_points_against,recent_team
114,edge_last20_avg_defensive_rebounds,recent_team
115,edge_schedule_games_last_14_days,schedule
116,edge_schedule_back_to_back,schedule
117,edge_schedule_games_last_7_days,schedule
118,edge_schedule_rest_days,schedule
119,edge_schedule_four_in_six,schedule
120,edge_schedule_road_trip_game_number,schedule
121,edge_schedule_three_in_four,schedule
122,edge_schedule_home_stand_game_number,schedule
123,edge_schedule_travel_flip_from_last_game,schedule
124,edge_series_wins,series
125,edge_series_win_pct,series
126,edge_strength_power_rating_over_1500,strength
127,edge_strength_power_rating,strength
128,edge_strength_elo_rating_over_1500,strength
129,edge_strength_elo,strength
130,edge_strength_power_rating_percentile,strength
131,edge_strength_power_rating_rank,strength
132,edge_strength_current_season_net_rating,strength
133,edge_strength_elo_percentile,strength
134,edge_strength_elo_rank,strength
135,edge_strength_last20_net_rating,strength
136,edge_strength_sos_adjusted_net_rating,strength
137,edge_strength_win_pct_percentile,strength
138,edge_strength_win_pct_rank,strength
139,edge_strength_overall_seed,strength
140,edge_strength_last20_sos_adjusted_net_rating,strength
141,edge_strength_current_season_wins,strength
142,edge_strength_current_season_losses,strength
143,edge_strength_current_season_win_pct,strength
144,edge_strength_quality_win_rate,strength
145,edge_strength_quality_wins,strength
146,edge_strength_bad_loss_rate,strength
147,edge_strength_power_top10,strength
148,edge_strength_elo_top10,strength
149,edge_strength_elo_top5,strength
150,edge_strength_power_top5,strength
151,edge_strength_bad_losses,strength
152,edge_strength_power_top3,strength
153,edge_strength_elo_top3,strength
154,edge_strength_last20_opponent_avg_elo,strength
155,edge_strength_bad_games,strength
156,edge_strength_quality_games,strength
157,edge_strength_last20_opponent_avg_net_rating,strength
158,edge_strength_sos_net_rating,strength
159,edge_strength_market_spread_games,strength
160,edge_strength_market_games,strength
161,edge_strength_current_season_games,strength
162,edge_style_regular_net_rating,style_matchup
163,edge_style_last20_net_rating,style_matchup
164,edge_style_all_net_rating,style_matchup
165,edge_style_last10_net_rating,style_matchup
166,edge_style_last5_net_rating,style_matchup
167,edge_style_regular_turnover_pressure,style_matchup
168,edge_style_h2h_net_rating,style_matchup
169,edge_style_last20_turnover_pressure,style_matchup
170,edge_style_last10_turnover_pressure,style_matchup
171,edge_style_all_turnover_pressure,style_matchup
172,edge_style_last5_turnover_pressure,style_matchup
173,edge_style_h2h_paint_pressure,style_matchup
174,edge_style_h2h_turnover_pressure,style_matchup
175,edge_style_last10_paint_pressure,style_matchup
176,edge_style_all_pace,style_matchup
177,edge_style_last20_paint_pressure,style_matchup
178,edge_style_last5_paint_pressure,style_matchup
179,edge_style_regular_paint_pressure,style_matchup
180,edge_style_all_three_pa_rate,style_matchup
181,edge_style_regular_pace,style_matchup
182,edge_style_last20_pace,style_matchup
183,edge_style_last10_pace,style_matchup
184,edge_style_all_paint_pressure,style_matchup
185,edge_style_all_scoring_matchup,style_matchup
186,edge_style_last20_three_pa_rate,style_matchup
187,edge_style_regular_three_pa_rate,style_matchup
188,edge_style_last5_pace,style_matchup
189,edge_style_last10_three_pa_rate,style_matchup
190,edge_style_all_ft_pressure,style_matchup
191,edge_style_last10_expected_pace,style_matchup
192,edge_style_last5_three_pa_rate,style_matchup
193,edge_style_regular_scoring_matchup,style_matchup
194,edge_style_last20_expected_pace,style_matchup
195,edge_style_last5_expected_pace,style_matchup
196,edge_style_last5_ft_pressure,style_matchup
197,edge_style_all_expected_pace,style_matchup
198,edge_style_last20_scoring_matchup,style_matchup
199,edge_style_h2h_pace,style_matchup
200,edge_style_regular_ft_pressure,style_matchup
201,edge_style_last10_scoring_matchup,style_matchup
202,edge_regular_avg_net_rating_est,team_profile
203,edge_regular_avg_margin,team_profile
204,edge_all_avg_margin,team_profile
205,edge_all_avg_net_rating_est,team_profile
206,edge_all_win_pct,team_profile
207,edge_regular_win_pct,team_profile
208,edge_regular_avg_off_rating_est,team_profile
209,edge_all_avg_def_rating_est,team_profile
210,edge_regular_avg_def_rating_est,team_profile
211,edge_all_avg_off_rating_est,team_profile
212,edge_regular_avg_points_against,team_profile
213,edge_regular_avg_efg_pct_est,team_profile
214,edge_all_avg_points_against,team_profile
215,edge_all_avg_efg_pct_est,team_profile
216,edge_regular_avg_field_goal_pct,team_profile
217,edge_regular_avg_points_for,team_profile
218,edge_regular_avg_turnovers,team_profile
219,edge_all_avg_field_goal_pct,team_profile
220,edge_all_avg_three_point_field_goal_pct,team_profile
221,edge_all_avg_defensive_rebounds,team_profile
222,edge_all_avg_turnovers,team_profile
223,edge_regular_avg_turnover_rate,team_profile
224,edge_all_avg_points_for,team_profile
225,edge_all_avg_turnover_rate,team_profile
226,edge_regular_avg_defensive_rebounds,team_profile
227,edge_regular_avg_three_point_field_goal_pct,team_profile
228,edge_all_games,team_profile
229,edge_regular_avg_oreb_rate_proxy,team_profile
230,edge_all_avg_oreb_rate_proxy,team_profile
231,edge_regular_avg_steal_rate_est,team_profile
232,edge_regular_avg_steals,team_profile
233,edge_all_avg_total_rebounds,team_profile
234,edge_all_avg_fouls,team_profile
235,edge_all_avg_estimated_possessions,team_profile
236,edge_regular_avg_fouls,team_profile
237,edge_regular_avg_paint_point_rate_est,team_profile
238,edge_all_avg_foul_rate_est,team_profile
239,edge_regular_avg_offensive_rebounds,team_profile
240,edge_regular_avg_foul_rate_est,team_profile
241,edge_all_avg_steal_rate_est,team_profile
242,edge_last3_avg_points_for,recent_team
243,edge_last5_avg_turnovers,recent_team
244,edge_last10_avg_defensive_rebounds,recent_team
245,edge_last20_avg_three_point_field_goal_pct,recent_team
246,edge_last5_avg_turnover_rate,recent_team
247,edge_last10_avg_three_point_field_goal_pct,recent_team
248,edge_last5_avg_defensive_rebounds,recent_team
249,edge_last3_avg_turnovers,recent_team
250,edge_last20_avg_oreb_rate_proxy,recent_team
251,edge_players_top8_sum_field_goals_made_field_goals_attempted_attempted,players
252,edge_players_top8_dnp_rate_last10,players
253,edge_players_top5_usage_weighted_assists_per36,players
254,edge_last5_avg_three_point_field_goal_pct,recent_team
255,edge_players_top5_minutes_weighted_points_per36,players
256,edge_last3_avg_turnover_rate,recent_team
257,edge_last20_avg_steal_rate_est,recent_team
258,edge_last10_avg_steal_rate_est,recent_team
259,edge_players_top5_avg_steals,players
260,edge_players_top5_sum_steals,players
261,edge_players_top5_minutes_weighted_rebounds_per36,players
262,edge_last3_avg_three_point_field_goal_pct,recent_team
263,edge_last10_avg_oreb_rate_proxy,recent_team
264,edge_last3_avg_defensive_rebounds,recent_team
265,edge_players_top5_avg_rebounds,players
266,edge_players_top5_sum_rebounds,players
267,edge_players_top5_sum_steals_per36,players
268,edge_players_top5_avg_steals_per36,players
269,edge_players_top5_avg_rebounds_per36,players
270,edge_players_top5_sum_rebounds_per36,players
271,edge_players_top8_minutes_weighted_points_per36,players
272,edge_players_scorer1_usage,players
273,edge_last10_avg_steals,recent_team
274,edge_last20_avg_steals,recent_team
275,edge_players_top5_sum_points_per36,players
276,edge_players_top5_avg_points_per36,players
277,edge_players_top8_minutes_weighted_rebounds_per36,players
278,edge_last5_avg_assists,recent_team
279,edge_last10_avg_paint_point_rate_est,recent_team
280,edge_last20_avg_paint_point_rate_est,recent_team
281,edge_last5_avg_steal_rate_est,recent_team
282,edge_players_top5_avg_field_goals_made_field_goals_attempted_made,players
283,edge_players_top5_sum_field_goals_made_field_goals_attempted_made,players
284,edge_players_top8_dnp_games_last10,players
285,edge_players_scorer1_mpg,players
286,edge_players_top8_avg_fouls,players
287,edge_players_top8_sum_fouls,players
288,edge_last5_avg_paint_point_rate_est,recent_team
289,edge_players_top8_usage_weighted_assists_per36,players
290,edge_last5_avg_steals,recent_team
291,edge_last20_avg_fouls,recent_team
292,edge_players_top8_sum_steals_per36,players
293,edge_players_top8_avg_steals_per36,players
294,edge_players_top5_sum_points,players
295,edge_players_top5_avg_points,players
296,edge_last10_avg_total_rebounds,recent_team
297,edge_last20_avg_total_rebounds,recent_team
298,edge_last10_avg_assists,recent_team
299,edge_last5_avg_total_rebounds,recent_team
300,edge_last10_avg_fouls,recent_team
301,edge_last20_avg_assists,recent_team
302,edge_all_avg_offensive_rebounds,team_profile
303,edge_all_avg_ft_rate,team_profile
304,edge_last5_avg_oreb_rate_proxy,recent_team
305,edge_last3_avg_steal_rate_est,recent_team
306,edge_players_top5_avg_blocks,players
307,edge_players_top5_sum_blocks,players
308,edge_players_top8_sum_rebounds_per36,players
309,edge_players_top8_avg_usage_proxy,players
310,edge_players_top8_avg_rebounds_per36,players
311,edge_players_top8_sum_usage_proxy,players
312,edge_last3_avg_assists,recent_team
313,edge_players_top8_sum_defensive_rebounds,players
314,edge_players_top8_avg_defensive_rebounds,players
315,edge_all_avg_three_pa_rate,team_profile
316,edge_last3_avg_paint_point_rate_est,recent_team
317,edge_players_scorer2_ppg,players
318,edge_regular_avg_total_rebounds,team_profile
319,edge_all_avg_block_rate_est,team_profile
320,edge_last3_avg_oreb_rate_proxy,recent_team
