team_id,team,team_abbrev,athlete_id,player,position,jersey,age,height_inches,weight_lbs,experience_years,status,headshot,injury_status,available_flag,last3_games_logged,last3_starts,last3_avg_minutes,last3_avg_points,last3_avg_rebounds,last3_avg_assists,last3_avg_turnovers,last3_avg_steals,last3_avg_blocks,last3_avg_plus_minus,last3_avg_usage_proxy,last3_avg_points_per36,last3_avg_rebounds_per36,last3_avg_assists_per36,last5_games_logged,last5_starts,last5_avg_minutes,last5_avg_points,last5_avg_rebounds,last5_avg_assists,last5_avg_turnovers,last5_avg_steals,last5_avg_blocks,last5_avg_plus_minus,last5_avg_usage_proxy,last5_avg_points_per36,last5_avg_rebounds_per36,last5_avg_assists_per36,last10_games_logged,last10_starts,last10_avg_minutes,last10_avg_points,last10_avg_rebounds,last10_avg_assists,last10_avg_turnovers,last10_avg_steals,last10_avg_blocks,last10_avg_plus_minus,last10_avg_usage_proxy,last10_avg_points_per36,last10_avg_rebounds_per36,last10_avg_assists_per36,season_games_logged,season_starts,season_avg_minutes,season_avg_points,season_avg_rebounds,season_avg_assists,season_avg_turnovers,season_avg_steals,season_avg_blocks,season_avg_plus_minus,season_avg_usage_proxy,season_avg_points_per36,season_avg_rebounds_per36,season_avg_assists_per36
24,San Antonio Spurs,SA,6578,Harrison Barnes,Forward,40,34,79.0,225.0,13,Active,https://a.espncdn.com/i/headshots/nba/players/full/6578.png,,1,3,0,6.666666666666667,2.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,5.0,2.0,5.538461538461539,0.923076923076923,0.0,5,0,7.8,2.2,0.8,0.0,0.4,0.2,0.0,6.666666666666667,2.928,5.573076923076924,1.903846153846154,0.0,10,0,7.7,2.1,1.3,0.3,0.4,0.1,0.0,5.4,2.552,6.629395604395604,5.209065934065934,1.9285714285714284,96,53,22.666666666666668,8.5625,2.5,1.6041666666666667,0.6875,0.5520833333333334,0.14583333333333334,9.421875,7.807083333333334,12.266080786327862,4.008987909806073,2.4347915590527314
24,San Antonio Spurs,SA,6427,Bismack Biyombo,Center,18,33,80.0,255.0,14,Active,https://a.espncdn.com/i/headshots/nba/players/full/6427.png,,1,3,0,3.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.6666666666666666,0.0,9.0,0.0,5,0,3.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.4,0.0,6.0,0.0,10,0,3.6,0.8,0.4,0.0,0.4,0.0,0.4,1.5,0.7,9.257142857142856,7.2,0.0,101,1,4.970588235294118,0.8529411764705882,0.8529411764705882,0.14705882352941177,0.29411764705882354,0.11764705882352941,0.11764705882352941,1.5625,0.3473267326732673,6.412605042016807,7.526890756302521,0.5521008403361345
24,San Antonio Spurs,SA,5061568,Carter Bryant,Forward,11,20,78.0,220.0,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/5061568.png,,1,3,0,5.333333333333333,3.6666666666666665,2.0,0.0,0.3333333333333333,0.0,0.0,2.0,3.3333333333333335,27.8,12.4,0.0,5,0,6.6,2.8,1.6,0.4,0.6,0.2,0.2,2.0,3.2,18.84,9.188571428571429,1.7485714285714287,10,0,9.4,2.5,2.2,0.6,0.9,0.2,0.2,7.8,3.088,12.522197802197804,8.630109890109889,2.008351648351648,100,0,11.147727272727273,3.9431818181818183,2.4204545454545454,0.7045454545454546,0.5113636363636364,0.20454545454545456,0.3181818181818182,5.958333333333333,3.6924,12.311883414965257,8.22957315373149,2.2973076371431405
24,San Antonio Spurs,SA,4845367,Stephon Castle,Guard,5,21,78.0,215.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4845367.png,,1,3,3,33.666666666666664,19.0,5.333333333333333,7.0,3.3333333333333335,1.6666666666666667,0.0,7.0,18.12,20.435606060606062,5.6931818181818175,7.5568181818181825,5,5,33.2,16.8,4.8,6.8,2.4,1.4,0.6,13.0,16.48,18.261363636363637,5.164480519480519,7.414090909090909,10,10,34.7,19.5,5.6,6.9,3.9,1.2,0.5,13.166666666666666,19.452,20.800695075262745,5.933857913914305,7.182292645882872,87,86,30.74712643678161,17.160919540229884,5.264367816091954,7.287356321839081,3.2758620689655173,1.103448275862069,0.3103448275862069,13.892857142857142,18.063908045977012,20.31072640762851,6.1288585630194845,8.71505317925315
24,San Antonio Spurs,SA,4592479,Julian Champagnie,Forward,30,24,79.0,217.0,3,Active,https://a.espncdn.com/i/headshots/nba/players/full/4592479.png,,1,3,3,31.0,17.333333333333332,6.666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,20.0,13.546666666666667,19.91578947368421,7.974736842105263,1.6757894736842107,5,5,31.4,12.8,5.8,1.6,0.8,1.2,0.8,13.333333333333334,11.528,14.503168265491315,6.806516982110449,1.9134539797770287,10,10,32.2,11.7,5.7,1.6,0.5,1.4,0.6,15.571428571428571,11.091999999999999,13.39699527332921,6.428481543864484,1.875468248629773,101,86,28.11881188118812,11.05940594059406,5.732673267326732,1.5346534653465347,0.7722772277227723,0.8613861386138614,0.48514851485148514,12.493333333333334,9.841188118811882,13.88515113699744,7.325015825627534,1.961788403156298
24,San Antonio Spurs,SA,4066259,De'Aaron Fox,Guard,4,28,75.0,185.0,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/4066259.png,,1,3,3,31.666666666666668,9.666666666666666,3.0,6.666666666666667,1.0,2.0,0.0,10.0,13.88,10.58041958041958,3.762237762237762,7.806526806526807,5,5,31.4,11.2,5.2,6.2,1.4,1.6,0.2,9.666666666666666,14.616,12.61921949018723,6.205729754116851,7.238754793593503,10,10,31.3,15.2,4.1,5.5,1.3,1.4,0.3,17.166666666666668,16.708,17.66458327712597,4.824154906583749,6.581889844603317,89,89,31.314606741573034,18.146067415730336,3.7752808988764044,6.168539325842697,2.2247191011235956,1.2359550561797752,0.2696629213483146,14.421052631578947,18.24449438202247,20.811621245343442,4.386042694861539,7.259054369832904
24,San Antonio Spurs,SA,5037871,Dylan Harper,Guard,2,20,77.0,215.0,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/5037871.png,,1,3,0,24.666666666666668,11.666666666666666,6.333333333333333,3.3333333333333335,2.0,0.0,0.0,14.0,10.213333333333333,17.55151515151515,9.263838383838385,4.955151515151516,5,0,22.4,9.6,5.4,2.8,2.0,0.0,0.0,17.666666666666668,9.831999999999999,15.472085561497327,8.543176979882862,4.505864018334607,10,2,26.2,13.5,6.2,2.8,1.9,1.1,0.2,14.571428571428571,12.596,18.307263730012163,8.467782707071818,3.8427628875088202,88,6,23.261363636363637,12.147727272727273,3.8295454545454546,3.5568181818181817,1.4545454545454546,0.8409090909090909,0.3181818181818182,10.932203389830509,11.80409090909091,18.485221348258232,5.837312312772195,5.426808407406287
24,San Antonio Spurs,SA,4433618,Harrison Ingram,Forward,55,23,77.0,230.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4433618.png,,1,3,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5,0,4.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,12.0,0.0,0.0,10,0,3.75,1.5,0.0,0.25,0.25,0.0,0.0,0.0,0.4,19.5,0.0,2.25,22,0,3.7142857142857144,1.5714285714285714,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,3.25,0.3181818181818182,17.057142857142857,3.3428571428571425,1.2857142857142858
24,San Antonio Spurs,SA,4395723,Keldon Johnson,Forward,3,26,77.0,220.0,6,Active,https://a.espncdn.com/i/headshots/nba/players/full/4395723.png,,1,3,0,18.0,11.666666666666666,3.3333333333333335,1.0,1.0,0.6666666666666666,0.0,5.333333333333333,10.626666666666667,23.25,6.6499999999999995,1.95,5,0,16.8,9.2,3.0,0.6,1.2,0.6,0.0,5.75,10.728000000000002,19.35,6.39,1.17,10,0,18.1,9.4,2.5,0.7,1.3,0.6,0.1,7.166666666666667,10.26,17.47031057178116,4.849874537227478,1.6552262443438912,101,0,22.405940594059405,12.277227722772277,5.0,1.2673267326732673,0.900990099009901,0.5742574257425742,0.13861386138613863,9.698412698412698,11.195643564356438,19.16381446098475,8.06786923602567,2.0510898187469127
24,San Antonio Spurs,SA,4713010,David Jones Garcia,Forward,25,24,76.0,210.0,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4713010.png,Out,0,3,0,5.5,4.5,0.5,2.0,0.0,0.5,0.0,0.0,1.8133333333333335,16.2,18.0,7.2,5,0,4.5,2.25,0.5,1.25,0.5,0.5,0.0,1.5,1.6880000000000002,8.1,10.8,5.4,10,0,7.428571428571429,3.0,1.2857142857142858,1.7142857142857142,0.7142857142857143,0.8571428571428571,0.14285714285714285,7.75,2.332,7.876691729323308,8.31602082128398,5.105378831694622,21,0,6.363636363636363,2.909090909090909,1.1818181818181819,1.6363636363636365,0.45454545454545453,0.5454545454545454,0.09090909090909091,6.375,1.554285714285714,14.620232399179768,7.886818444713182,7.1293969188706035
24,San Antonio Spurs,SA,3064560,Luke Kornet,Center,7,30,85.0,250.0,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/3064560.png,,1,3,0,9.0,1.6666666666666667,3.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,7.0,2.92,6.769230769230769,14.115384615384615,0.923076923076923,5,0,10.6,3.0,3.8,0.4,0.6,0.0,0.6,7.0,3.5519999999999996,9.6,13.453846153846154,1.1076923076923078,10,0,12.4,3.2,3.9,0.5,0.6,0.4,1.0,5.5,3.3519999999999994,8.621178821178821,11.37047952047952,1.3494505494505495,87,27,19.586206896551722,6.195402298850575,5.735632183908046,1.6206896551724137,0.4482758620689655,0.4827586206896552,0.9310344827586207,8.16,4.989425287356322,10.962626030706872,10.771731388395464,2.9002665685537834
24,San Antonio Spurs,SA,3134916,Jordan McLaughlin,Guard,0,30,72.0,185.0,6,Active,https://a.espncdn.com/i/headshots/nba/players/full/3134916.png,,1,3,0,4.5,2.0,2.0,1.0,0.5,0.0,0.0,0.5,1.6266666666666667,36.0,10.285714285714286,5.142857142857143,5,0,3.75,1.75,1.5,0.75,0.25,0.0,0.0,0.3333333333333333,1.376,24.75,11.892857142857142,7.071428571428571,10,0,4.714285714285714,2.142857142857143,1.1428571428571428,1.0,0.2857142857142857,0.0,0.0,2.0,1.188,19.836734693877553,8.173469387755102,8.846938775510203,88,0,6.092592592592593,2.0,0.7407407407407407,0.8888888888888888,0.3148148148148148,0.4074074074074074,0.037037037037037035,3.5,1.2609090909090908,13.78676683939842,3.8102970129285922,5.531892668734774
24,San Antonio Spurs,SA,4432872,Emanuel Miller,Forward,14,25,77.0,215.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4432872.png,,1,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,
24,San Antonio Spurs,SA,2489663,Kelly Olynyk,Forward,8,35,84.0,240.0,12,Active,https://a.espncdn.com/i/headshots/nba/players/full/2489663.png,,1,3,0,3.5,4.0,0.5,0.0,0.0,0.0,0.0,1.0,1.7333333333333334,39.6,3.6,0.0,5,0,3.25,3.5,0.5,0.0,0.5,0.75,0.0,0.75,2.2399999999999998,40.05,4.05,0.0,10,0,3.8333333333333335,3.3333333333333335,1.0,0.16666666666666666,0.5,0.5,0.0,1.4,1.72,37.949999999999996,5.7,0.75,94,0,7.94,3.0980392156862746,1.6274509803921569,1.0196078431372548,0.5490196078431373,0.37254901960784315,0.058823529411764705,3.9310344827586206,1.6893617021276595,14.786314001787687,6.5336535043903465,4.27345044429255
24,San Antonio Spurs,SA,2488653,Mason Plumlee,Center,45,36,84.0,254.0,12,Active,https://a.espncdn.com/i/headshots/nba/players/full/2488653.png,,1,3,0,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.6,0.0,5,0,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2,12.0,8.4,6.0,10,0,3.5,1.0,1.0,0.25,0.25,0.0,0.25,0.6666666666666666,0.4,12.6,9.9,4.5,38,1,5.583333333333333,0.75,1.4166666666666667,0.5,0.3333333333333333,0.3333333333333333,0.25,1.4285714285714286,0.25999999999999995,5.675,10.312500000000002,3.6625
24,San Antonio Spurs,SA,4395630,Devin Vassell,Guard,24,25,77.0,200.0,5,Active,https://a.espncdn.com/i/headshots/nba/players/full/4395630.png,,1,3,3,31.666666666666668,9.666666666666666,3.6666666666666665,3.0,0.6666666666666666,2.0,0.6666666666666666,9.0,11.773333333333333,11.538461538461538,3.976689976689977,3.347319347319347,5,5,32.8,12.4,4.8,2.8,0.6,2.2,0.6,15.0,12.032,13.75944055944056,5.095104895104895,3.0629370629370634,10,10,34.5,13.4,4.3,2.6,1.0,1.4,0.8,12.714285714285714,12.535999999999998,14.225517258798993,4.463286803495782,2.8529879047680913,87,84,31.24418604651163,13.69767441860465,4.209302325581396,2.5348837209302326,0.9186046511627907,0.9651162790697675,0.46511627906976744,12.870967741935484,12.898390804597707,15.828374490352065,4.890430392183673,2.96360313167404
24,San Antonio Spurs,SA,4066317,Lindy Waters III,Forward,43,28,77.0,210.0,4,Active,https://a.espncdn.com/i/headshots/nba/players/full/4066317.png,,1,3,0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,12.0,0.0,6.0,5,0,4.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.4,4.0,0.0,5.0,10,0,4.4,1.4,0.2,0.6,0.0,0.2,0.0,1.5,0.7,15.0,0.9,3.9,87,0,6.551020408163265,2.2448979591836733,0.7142857142857143,0.46938775510204084,0.16326530612244897,0.14285714285714285,0.02040816326530612,3.8518518518518516,1.2680459770114942,10.107594743583052,4.346815630217686,2.0010050078320867
