team,line,player,player_id,pos,GP,G_per_gp,A_per_gp,PTS_per_gp,SOG_per_gp,HIT_per_gp,BLK_per_gp,TOI_per_gp,ixG_per_gp,xGF_per_gp,xGA_per_gp,GF_onice_per_gp,GA_onice_per_gp,last10_G_per_gp,last10_PTS_per_gp,last10_SOG_per_gp,current_game_type,current_GP,current_G_per_gp,current_A_per_gp,current_PTS_per_gp,current_SOG_per_gp,current_HIT_per_gp,current_BLK_per_gp,current_TOI_per_gp,current_ixG_per_gp,current_xGF_per_gp,current_xGA_per_gp,current_GF_onice_per_gp,current_GA_onice_per_gp,current_last10_G_per_gp,current_last10_PTS_per_gp,current_last10_SOG_per_gp
MTL,F1,Cole Caufield,8481540,R,81,0.63,0.457,1.086,3.185,0.0,0.0,18.184,0.223,0.662,0.57,0.827,0.469,0.6,1.1,4.1,3,14,0.286,0.357,0.643,2.429,0.0,0.0,18.501,0.176,0.414,0.557,0.214,0.714,0.3,0.5,2.8
MTL,F1,Nick Suzuki,8480018,C,82,0.354,0.878,1.232,2.232,0.0,0.0,20.821,0.155,0.695,0.628,0.878,0.476,0.5,1.3,2.4,3,14,0.286,0.643,0.929,1.929,0.0,0.0,22.504,0.065,0.464,0.666,0.214,0.714,0.4,0.9,2.0
MTL,F1,Juraj Slafkovský,8483515,L,82,0.366,0.524,0.89,2.195,0.0,0.0,18.537,0.156,0.613,0.66,0.756,0.512,0.2,1.0,2.4,3,14,0.286,0.357,0.643,2.857,0.0,0.0,20.44,0.119,0.461,0.519,0.143,0.714,0.1,0.6,2.8
MTL,F2,Alex Newhook,8481618,C,42,0.31,0.286,0.595,1.452,0.0,0.0,14.485,0.117,0.416,0.547,0.69,0.524,0.2,0.3,1.6,3,14,0.5,0.143,0.643,2.071,0.0,0.0,16.546,0.184,0.494,0.418,0.643,0.214,0.7,0.9,2.6
MTL,F2,Jake Evans,8478133,C,68,0.176,0.176,0.353,1.103,0.0,0.0,15.356,0.126,0.416,0.498,0.353,0.471,0.1,0.2,0.7,3,14,0.143,0.429,0.571,1.214,0.0,0.0,16.221,0.089,0.47,0.459,0.643,0.143,0.2,0.7,1.4
MTL,F2,Ivan Demidov,8484984,R,82,0.232,0.524,0.756,1.549,0.0,0.0,15.498,0.103,0.464,0.516,0.646,0.561,0.3,0.6,2.0,3,14,0.143,0.357,0.5,2.071,0.0,0.0,16.881,0.138,0.451,0.431,0.429,0.214,0.2,0.6,2.3
MTL,F3,Alexandre Texier,8480074,L,51,0.157,0.255,0.412,1.451,0.0,0.0,13.654,0.142,0.532,0.534,0.51,0.333,0.0,0.1,1.1,3,14,0.214,0.286,0.5,1.143,0.0,0.0,13.174,0.079,0.461,0.742,0.857,0.357,0.2,0.4,1.2
MTL,F3,Phillip Danault,8476479,C,75,0.08,0.147,0.227,1.213,0.0,0.0,15.566,0.102,0.444,0.543,0.36,0.44,0.1,0.1,1.2,3,14,0.071,0.357,0.429,0.929,0.0,0.0,16.0,0.131,0.493,0.628,0.643,0.429,0.1,0.5,0.8
MTL,F3,Josh Anderson,8476981,R,72,0.194,0.125,0.319,1.236,0.0,0.0,14.022,0.136,0.407,0.526,0.403,0.528,0.1,0.1,1.0,3,14,0.214,0.143,0.357,1.643,0.0,0.0,15.587,0.186,0.434,0.643,0.5,0.214,0.1,0.3,1.7
MTL,F4,Zachary Bolduc,8482737,R,78,0.154,0.231,0.385,1.295,0.0,0.0,13.631,0.14,0.49,0.489,0.474,0.474,0.2,0.4,0.7,3,14,0.214,0.286,0.5,1.0,0.0,0.0,11.237,0.12,0.394,0.414,0.571,0.357,0.2,0.4,0.7
MTL,F4,Oliver Kapanen,8482775,C,82,0.268,0.183,0.451,1.598,0.0,0.0,14.475,0.16,0.449,0.588,0.622,0.585,0.0,0.0,1.0,3,5,0.0,0.0,0.0,0.8,0.0,0.0,7.87,0.07,0.33,0.242,0.0,0.0,0.0,0.0,0.8
MTL,F4,Kirby Dach,8481523,C,37,0.216,0.189,0.405,1.27,0.0,0.0,13.657,0.123,0.432,0.519,0.595,0.595,0.0,0.2,1.0,3,14,0.286,0.071,0.357,1.286,0.0,0.0,10.696,0.152,0.417,0.413,0.643,0.357,0.3,0.3,1.5
MTL,D1,Mike Matheson,8476875,D,78,0.09,0.385,0.474,1.462,0.0,0.0,24.163,0.053,0.737,0.912,0.808,0.782,0.1,0.3,1.0,3,14,0.071,0.143,0.214,1.214,0.0,0.0,25.443,0.046,0.569,0.836,0.429,0.5,0.1,0.2,1.0
MTL,D1,Alexandre Carrier,8478851,D,73,0.096,0.205,0.301,0.767,0.0,0.0,19.083,0.038,0.647,0.675,0.74,0.712,0.0,0.2,0.1,3,14,0.071,0.286,0.357,0.357,0.0,0.0,22.088,0.044,0.551,0.751,0.571,0.643,0.1,0.4,0.4
MTL,D2,Lane Hutson,8483457,D,82,0.146,0.805,0.951,1.512,0.0,0.0,23.772,0.081,0.864,0.735,1.122,0.671,0.1,0.7,0.5,3,14,0.143,0.857,1.0,1.786,0.0,0.0,26.012,0.057,0.816,0.853,1.0,0.786,0.0,1.0,1.4
MTL,D2,Noah Dobson,8480865,D,80,0.15,0.438,0.588,1.975,0.0,0.0,22.484,0.069,0.728,0.855,0.875,0.8,0.0,0.1,1.4,3,8,0.0,0.125,0.125,1.625,0.0,0.0,21.65,0.049,0.814,0.994,0.625,0.75,0.0,0.125,1.625
MTL,D3,Jayden Struble,8481593,D,59,0.034,0.169,0.203,0.441,0.0,0.0,14.018,0.023,0.534,0.584,0.593,0.508,0.1,0.1,0.8,3,7,0.0,0.0,0.0,0.429,0.0,0.0,10.767,0.013,0.457,0.32,0.714,0.143,0.0,0.0,0.429
MTL,D3,Kaiden Guhle,8482087,D,39,0.051,0.231,0.282,1.026,0.0,0.0,19.463,0.051,0.654,0.76,0.564,0.59,0.0,0.1,0.9,3,14,0.0,0.429,0.429,0.857,0.0,0.0,21.032,0.035,0.641,0.696,0.714,0.643,0.0,0.5,0.8
CAR,F1,Andrei Svechnikov,8480830,R,79,0.392,0.494,0.886,2.57,0.0,0.0,16.985,0.207,0.72,0.58,0.62,0.595,0.6,1.1,2.9,3,8,0.125,0.25,0.375,3.25,0.0,0.0,18.588,0.182,0.471,0.605,0.125,0.25,0.125,0.375,3.25
CAR,F1,Sebastian Aho,8478427,C,79,0.342,0.671,1.013,2.468,0.0,0.0,19.612,0.184,0.724,0.557,0.696,0.633,0.3,0.9,2.9,3,8,0.375,0.125,0.5,1.75,0.0,0.0,21.985,0.124,0.44,0.565,0.125,0.125,0.375,0.5,1.75
CAR,F1,Seth Jarvis,8482093,C,71,0.451,0.479,0.93,3.155,0.0,0.0,18.88,0.217,0.639,0.529,0.592,0.606,0.4,1.0,3.2,3,8,0.125,0.375,0.5,2.25,0.0,0.0,21.206,0.082,0.521,0.595,0.25,0.125,0.125,0.5,2.25
CAR,F2,Taylor Hall,8475791,L,80,0.225,0.375,0.6,1.712,0.0,0.0,14.53,0.166,0.695,0.515,0.625,0.512,0.3,1.0,1.9,3,8,0.375,1.125,1.5,2.875,0.0,0.0,16.14,0.33,0.972,0.419,1.375,0.125,0.375,1.5,2.875
CAR,F2,Logan Stankoven,8482702,C,81,0.259,0.284,0.543,2.049,0.0,0.0,15.45,0.214,0.751,0.538,0.667,0.506,0.7,1.1,2.8,3,8,0.875,0.125,1.0,3.875,0.0,0.0,16.956,0.381,0.984,0.43,1.375,0.25,0.875,1.0,3.875
CAR,F2,Jackson Blake,8482809,R,81,0.272,0.383,0.654,2.148,0.0,0.0,16.499,0.245,0.758,0.54,0.605,0.506,0.2,0.9,2.0,3,8,0.5,0.875,1.375,2.25,0.0,0.0,18.106,0.256,0.992,0.516,1.125,0.125,0.5,1.375,2.25
CAR,F3,Nikolaj Ehlers,8477940,L,82,0.317,0.549,0.866,2.524,0.0,0.0,16.596,0.145,0.645,0.479,0.646,0.524,0.3,1.0,2.7,3,7,0.286,0.286,0.571,2.0,0.0,0.0,19.421,0.1,0.75,0.5,0.429,0.286,0.286,0.571,2.0
CAR,F3,Jordan Staal,8473533,C,75,0.267,0.213,0.48,1.427,0.0,0.0,16.188,0.175,0.591,0.498,0.52,0.547,0.4,0.7,1.7,3,8,0.125,0.375,0.5,1.75,0.0,0.0,18.925,0.256,0.715,0.645,0.5,0.25,0.125,0.5,1.75
CAR,F3,Jordan Martinook,8476921,L,77,0.156,0.221,0.377,1.416,0.0,0.0,14.836,0.152,0.58,0.471,0.571,0.558,0.2,0.6,1.2,3,8,0.125,0.25,0.375,2.25,0.0,0.0,16.704,0.188,0.646,0.6,0.25,0.375,0.125,0.375,2.25
CAR,F4,William Carrier,8477478,L,70,0.1,0.157,0.257,1.143,0.0,0.0,10.754,0.141,0.485,0.348,0.5,0.414,0.1,0.4,0.9,3,8,0.0,0.0,0.0,0.75,0.0,0.0,10.34,0.059,0.365,0.395,0.0,0.125,0.0,0.0,0.75
CAR,F4,Mark Jankowski,8476873,L,68,0.162,0.147,0.309,0.926,0.0,0.0,11.151,0.153,0.478,0.317,0.368,0.25,0.3,0.4,0.9,3,8,0.0,0.125,0.125,0.625,0.0,0.0,12.09,0.125,0.411,0.332,0.125,0.125,0.0,0.125,0.625
CAR,F4,Eric Robinson,8480762,L,67,0.179,0.09,0.269,1.254,0.0,0.0,11.428,0.15,0.514,0.383,0.418,0.328,0.0,0.0,0.9,3,8,0.0,0.25,0.25,1.625,0.0,0.0,9.944,0.191,0.388,0.266,0.25,0.125,0.0,0.25,1.625
CAR,D1,Jaccob Slavin,8476958,D,39,0.026,0.179,0.205,1.615,0.0,0.0,21.31,0.048,0.79,0.633,0.667,0.641,0.1,0.4,1.8,3,8,0.0,0.125,0.125,1.875,0.0,0.0,24.175,0.035,0.801,0.668,0.125,0.25,0.0,0.125,1.875
CAR,D1,Jalen Chatfield,8478970,D,72,0.028,0.208,0.236,1.389,0.0,0.0,20.139,0.056,0.775,0.725,0.819,0.722,0.1,0.2,1.4,3,8,0.125,0.125,0.25,1.875,0.0,0.0,22.91,0.054,0.926,0.701,0.375,0.375,0.125,0.25,1.875
CAR,D2,K'Andre Miller,8480817,D,72,0.111,0.403,0.514,1.708,0.0,0.0,22.393,0.071,0.929,0.69,0.833,0.861,0.2,0.5,2.1,3,8,0.0,0.75,0.75,0.875,0.0,0.0,23.74,0.036,0.972,0.709,1.25,0.125,0.0,0.75,0.875
CAR,D2,Sean Walker,8480336,D,81,0.111,0.272,0.383,2.21,0.0,0.0,21.812,0.085,0.914,0.669,0.79,0.802,0.2,0.8,2.4,3,8,0.0,0.25,0.25,1.75,0.0,0.0,22.315,0.086,1.012,0.689,1.0,0.25,0.0,0.25,1.75
CAR,D3,Shayne Gostisbehere,8476906,D,55,0.236,0.673,0.909,2.109,0.0,0.0,19.232,0.072,0.795,0.598,0.855,0.636,0.2,0.7,1.8,3,8,0.0,0.25,0.25,1.875,0.0,0.0,19.263,0.022,0.659,0.595,0.75,0.25,0.0,0.25,1.875
CAR,D3,Alexander Nikishin,8482100,D,81,0.136,0.272,0.407,1.506,0.0,0.0,18.184,0.063,0.788,0.623,0.704,0.531,0.1,0.4,0.8,3,6,0.0,0.0,0.0,0.333,0.0,0.0,15.85,0.032,0.755,0.55,0.333,0.167,0.0,0.0,0.333
